encoder,category,input_spike_rate,l1_spike_rate,synops,msynops,energy_uj,inference_time_ms,test_f1,cv_f1_mean,cv_f1_std,f1_per_msynops
Rate,Baseline,0.0174868495048334,0.0794083892802397,742943.2666666667,0.7429432666666668,17.533461093333337,11.622867584228516,0.8904593639575972,0.7965363865744154,0.16837987559706863,1.1985563419300977
Phase,Baseline,0.0203798368712887,0.0884003165240089,848524.6066666667,0.8485246066666667,20.02518071733333,11.40212615331014,0.8811188811188811,0.7656168452787973,0.2209470771964845,1.038412880659121
TTFS,Baseline,0.0203798368712887,0.0884003165240089,848524.6066666667,0.8485246066666667,20.02518071733333,11.388715108235676,0.8811188811188811,0.7656168452787973,0.2209470771964845,1.038412880659121
Delta-Mod,Proposed,0.0019376139284577,0.0153807299149533,112675.25333333333,0.1126752533333333,2.659135978666667,11.09689156214396,0.8301886792452831,0.8022188478701477,0.054245592557104726,7.367977037418243
PDE,Proposed,0.0096045177166039,0.0464740647251407,421643.14,0.42164314,9.950778104,11.091338793436686,0.8591549295774648,0.8696773711893688,0.024059707701982694,2.0376352608925754
ATDE,Proposed,0.0089749548040951,0.0432804187883933,394120.4066666667,0.3941204066666667,9.301241597333334,11.112000942230225,0.8797250859106529,0.876701032748134,0.016232596632658587,2.232122648383172
MASTE,Proposed,0.0111166853147248,0.0508881275107463,474508.81333333335,0.4745088133333333,11.198407994666669,11.098238627115885,0.8424657534246576,0.866033910343971,0.01966027054697758,1.7754480628220526
ST-MW,Proposed,0.1357632841107746,0.1476202150682608,3795779.446666667,3.795779446666667,89.58039494133334,11.093014876047771,0.9045936395759716,0.8845674570729171,0.025507023431391468,0.23831564828413754
AMSTE,Proposed,0.0129171407750497,0.0586820862069726,550668.8466666667,0.5506688466666667,12.995784781333334,11.444623470306396,0.8838709677419355,0.907916762575424,0.047487742157290624,1.6050862021562011
SFBE,Proposed,0.0194278696004766,0.1674726640681425,1158252.68,1.15825268,27.334763248,12.477099895477297,0.8610169491525423,0.8818799109293913,0.010733644491672446,0.7433757452238681
