accuracy,precision,recall,f1,auc,fnr,cm,loss,encoder,fold,seed,mode,best_epoch,betas,fpr,auprc,balanced_acc,specificity,mcc
0.876470588,0.915584416,0.829411765,0.87037037,0.908442907,0.170588235,"[[157, 13], [29, 141]]",22.30145073,Phase,4,42,within,23,"{'b1': 0.8883859515190125, 'b2': 0.9776718020439148, 'b3': 1.029671549797058}",,,,,
0.5,0.5,1,0.666666667,0.392318339,0,"[[0, 170], [0, 170]]",162.4537506,Phase,4,123,within,1,"{'b1': 0.8550127148628235, 'b2': 0.9052953124046326, 'b3': 0.9607967734336853}",,,,,
0.876470588,0.938356164,0.805882353,0.867088608,0.909048443,0.194117647,"[[161, 9], [33, 137]]",21.83987904,Phase,4,456,within,20,"{'b1': 0.9062208533287048, 'b2': 0.9977971911430359, 'b3': 1.0253891944885254}",,,,,
0.5,0,0,0,0.710294118,1,"[[170, 0], [170, 0]]",146.2476883,TTFS,0,42,within,1,"{'b1': 0.8557451367378235, 'b2': 0.8998039364814758, 'b3': 0.961959183216095}",,,,,
0.5,0.5,1,0.666666667,0.398252595,0,"[[0, 170], [0, 170]]",162.5712891,TTFS,0,123,within,1,"{'b1': 0.8549488186836243, 'b2': 0.9052186608314514, 'b3': 0.9607823491096497}",,,,,
0.891176471,0.923566879,0.852941176,0.886850153,0.907352941,0.147058824,"[[158, 12], [25, 145]]",20.8647747,TTFS,0,456,within,26,"{'b1': 0.890220046043396, 'b2': 0.9861751794815063, 'b3': 1.0262004137039185}",,,,,
0.855882353,0.900662252,0.8,0.847352025,0.889878893,0.2,"[[155, 15], [34, 136]]",21.04972172,TTFS,1,42,within,25,"{'b1': 0.8819890022277832, 'b2': 0.9938980340957642, 'b3': 1.0294545888900757}",,,,,
0.5,0.5,1,0.666666667,0.336712803,0,"[[0, 170], [0, 170]]",162.654213,TTFS,1,123,within,1,"{'b1': 0.8549813032150269, 'b2': 0.9051563739776611, 'b3': 0.9607917666435242}",,,,,
0.858823529,0.917808219,0.788235294,0.848101266,0.880276817,0.211764706,"[[158, 12], [36, 134]]",21.98962593,TTFS,1,456,within,28,"{'b1': 0.9001839756965637, 'b2': 1.0073100328445435, 'b3': 1.0293712615966797}",,,,,
0.867647059,0.908496732,0.817647059,0.860681115,0.873252595,0.182352941,"[[156, 14], [31, 139]]",21.60863304,TTFS,2,42,within,42,"{'b1': 0.9138036966323853, 'b2': 1.0159063339233398, 'b3': 1.0262560844421387}",,,,,
0.5,0.5,1,0.666666667,0.351384083,0,"[[0, 170], [0, 170]]",162.9795151,TTFS,2,123,within,1,"{'b1': 0.8549832701683044, 'b2': 0.9052128195762634, 'b3': 0.9607642889022827}",,,,,
0.873529412,0.91503268,0.823529412,0.866873065,0.897128028,0.176470588,"[[157, 13], [30, 140]]",21.16822815,TTFS,2,456,within,76,"{'b1': 0.8943397402763367, 'b2': 1.0019235610961914, 'b3': 1.0301671028137207}",,,,,
0.5,0,0,0,0.697854671,1,"[[170, 0], [170, 0]]",146.2885132,TTFS,3,42,within,1,"{'b1': 0.8557418584823608, 'b2': 0.8999598622322083, 'b3': 0.9619986414909363}",,,,,
0.5,0.5,1,0.666666667,0.426072664,0,"[[0, 170], [0, 170]]",162.5002747,TTFS,3,123,within,1,"{'b1': 0.8550153374671936, 'b2': 0.905261218547821, 'b3': 0.960771918296814}",,,,,
0.826470588,0.872483221,0.764705882,0.815047022,0.852543253,0.235294118,"[[151, 19], [40, 130]]",27.10127926,TTFS,3,456,within,22,"{'b1': 0.9049650430679321, 'b2': 0.9961531162261963, 'b3': 1.0263373851776123}",,,,,
0.876470588,0.915584416,0.829411765,0.87037037,0.908442907,0.170588235,"[[157, 13], [29, 141]]",22.30145073,TTFS,4,42,within,23,"{'b1': 0.8883859515190125, 'b2': 0.9776718020439148, 'b3': 1.029671549797058}",,,,,
0.5,0.5,1,0.666666667,0.392318339,0,"[[0, 170], [0, 170]]",162.4537506,TTFS,4,123,within,1,"{'b1': 0.8550127148628235, 'b2': 0.9052953124046326, 'b3': 0.9607967734336853}",,,,,
0.876470588,0.938356164,0.805882353,0.867088608,0.909048443,0.194117647,"[[161, 9], [33, 137]]",21.83987904,TTFS,4,456,within,20,"{'b1': 0.9062208533287048, 'b2': 0.9977971911430359, 'b3': 1.0253891944885254}",,,,,
0.847058824,0.921428571,0.758823529,0.832258065,0.875726644,0.241176471,"[[159, 11], [41, 129]]",23.90599155,Delta-Mod,0,42,within,26,"{'b1': 0.9009842276573181, 'b2': 0.995166540145874, 'b3': 1.0246371030807495}",,,,,
0.635294118,0.595833333,0.841176471,0.697560976,0.766782007,0.158823529,"[[73, 97], [27, 143]]",46.5979557,Delta-Mod,0,123,within,7,"{'b1': 0.9114271402359009, 'b2': 0.9709927439689636, 'b3': 1.0194807052612305}",,,,,
0.782352941,0.842857143,0.694117647,0.761290323,0.84432526,0.305882353,"[[148, 22], [52, 118]]",42.5094738,Delta-Mod,0,456,within,10,"{'b1': 0.9057134389877319, 'b2': 0.9686858654022217, 'b3': 1.0236023664474487}",,,,,
