variant,display,mad,polarity,multi_scale,spatial_gate,f1_mean,f1_std,recall_mean,recall_std,fnr_mean,fnr_std,auprc_mean,auprc_std,auc_mean,mcc_mean,df1,drecall,dfnr,dauprc,energy_uj_test,msynops_test,f1_test
Basic,Basic,False,False,False,False,0.48353002716512256,0.05197087819950039,0.320392156862745,0.044458996903530654,0.6796078431372549,0.044458996903530654,0.6675627120785226,0.023636423271000184,0.666919261822376,0.4354460206843932,-0.4346032108497872,-0.5776470588235296,0.5776470588235294,-0.25629735971032497,4.063419837333334,0.1721788066666666,0.5507246376811594
No_MAD,No-MAD,False,True,True,True,0.8699543821793417,0.015123257848284886,0.8545098039215687,0.028512874585637036,0.14549019607843136,0.028512874585637026,0.8649436906774756,0.03109509731439978,0.8974659746251442,0.746221844039967,-0.048178855835568024,-0.04352941176470593,0.043529411764705886,-0.058916381111371985,20.577364077333336,0.8719222066666666,0.8936170212765957
No_Polarity,No-Polarity,True,False,True,True,0.9180660561752244,0.010986042520714848,0.8886274509803923,0.026537419524710396,0.11137254901960782,0.026537419524710434,0.9309668898842921,0.017125951109148507,0.9455040369088813,0.844134620675115,-6.718183968534852e-05,-0.009411764705882342,0.009411764705882342,0.007106818095444556,14.017999272,0.59398302,0.9178082191780822
No_MultiScale,No-MultiScale,True,True,False,True,0.8642309031054988,0.014076984762576208,0.8047058823529413,0.031142362823560865,0.19529411764705876,0.03114236282356087,0.8854682200349641,0.01845557709418668,0.9003068050749711,0.755888631960092,-0.05390233490941099,-0.09333333333333338,0.09333333333333328,-0.03839185175388349,3.933479181333333,0.1666728466666666,0.8763250883392226
No_Spatial,No-Spatial,True,True,True,False,0.9287825620473557,0.011152238256576456,0.923529411764706,0.021325340404116808,0.07647058823529408,0.021325340404116835,0.9266296590614921,0.015252365397732042,0.9500069204152249,0.8590061768213596,0.010649324032445895,0.025490196078431393,-0.025490196078431393,0.002769587272644536,17.796273525333334,0.7540793866666667,0.9297658862876256
Full_AMSTE,Full AMSTE,True,True,True,True,0.9181332380149098,0.011124921711877189,0.8980392156862746,0.024523805524493868,0.10196078431372547,0.024523805524493875,0.9238600717888475,0.015931397275941804,0.9432318339100346,0.8414611835192228,,,,,13.163822288,0.5577890799999999,0.9041095890410958
