f1,recall,fnr,fpr,auprc,accuracy,balanced_acc,precision,specificity,auc,mcc,cm,loss,variant,fold,seed,mode,best_epoch,betas
0.877742947,0.823529412,0.176470588,0.052941176,0.902679257,0.885294118,0.885294118,0.939597315,0.947058824,0.913131488,0.776535792,"[[161, 9], [30, 140]]",21.27481651,No_MAD,2,123,ablation,16,"{'b1': 0.880764365196228, 'b2': 0.9794337749481201, 'b3': 1.024590015411377}"
0.878504673,0.829411765,0.170588235,0.058823529,0.883330342,0.885294118,0.885294118,0.933774834,0.941176471,0.903027682,0.775446642,"[[160, 10], [29, 141]]",22.67969513,No_MAD,2,456,ablation,23,"{'b1': 0.8997438549995422, 'b2': 1.0240525007247925, 'b3': 1.0197885036468506}"
0.860465116,0.870588235,0.129411765,0.152941176,0.819647191,0.858823529,0.858823529,0.850574713,0.847058824,0.870692042,0.717845798,"[[144, 26], [22, 148]]",27.91942883,No_MAD,3,42,ablation,32,"{'b1': 0.9018834233283997, 'b2': 0.9905458092689514, 'b3': 1.0124001502990723}"
0.867816092,0.888235294,0.111764706,0.158823529,0.832873887,0.864705882,0.864705882,0.848314607,0.841176471,0.884256055,0.730220762,"[[143, 27], [19, 151]]",24.50704193,No_MAD,3,123,ablation,18,"{'b1': 0.8848033547401428, 'b2': 1.0196088552474976, 'b3': 1.0236051082611084}"
0.874285714,0.9,0.1,0.158823529,0.827455104,0.870588235,0.870588235,0.85,0.841176471,0.880847751,0.74246212,"[[143, 27], [17, 153]]",26.01814365,No_MAD,3,456,ablation,31,"{'b1': 0.8940662741661072, 'b2': 1.0211695432662964, 'b3': 1.0171643495559692}"
0.873846154,0.835294118,0.164705882,0.076470588,0.889688973,0.879411765,0.879411765,0.916129032,0.923529412,0.916055363,0.761794788,"[[157, 13], [28, 142]]",23.02397251,No_MAD,4,42,ablation,25,"{'b1': 0.8856737613677979, 'b2': 0.9579544067382812, 'b3': 1.0177958011627197}"
0.901840491,0.864705882,0.135294118,0.052941176,0.922060159,0.905882353,0.905882353,0.942307692,0.947058824,0.93615917,0.814531484,"[[161, 9], [23, 147]]",21.1219902,No_MAD,4,123,ablation,23,"{'b1': 0.8708943128585815, 'b2': 1.0139597654342651, 'b3': 1.0229690074920654}"
0.889534884,0.9,0.1,0.123529412,0.879137484,0.888235294,0.888235294,0.879310345,0.876470588,0.915346021,0.776685617,"[[149, 21], [17, 153]]",22.70159245,No_MAD,4,456,ablation,25,"{'b1': 0.8815459609031677, 'b2': 1.0063852071762085, 'b3': 1.0171992778778076}"
0.929230769,0.888235294,0.111764706,0.023529412,0.93927216,0.932352941,0.932352941,0.974193548,0.976470588,0.946591696,0.868091735,"[[166, 4], [19, 151]]",13.66110563,No_Polarity,0,42,ablation,39,"{'b1': 0.8662858009338379, 'b2': 1.022403597831726, 'b3': 1.022597312927246}"
0.919402985,0.905882353,0.094117647,0.064705882,0.917555777,0.920588235,0.920588235,0.933333333,0.935294118,0.938183391,0.841540537,"[[159, 11], [16, 154]]",13.68509674,No_Polarity,0,123,ablation,63,"{'b1': 0.8398044109344482, 'b2': 1.0037087202072144, 'b3': 1.0089154243469238}"
0.904458599,0.835294118,0.164705882,0.011764706,0.94062734,0.911764706,0.911764706,0.986111111,0.988235294,0.935017301,0.833333333,"[[168, 2], [28, 142]]",20.31775284,No_Polarity,0,456,ablation,20,"{'b1': 0.8862855434417725, 'b2': 0.9470272064208984, 'b3': 1.0198249816894531}"
0.916666667,0.905882353,0.094117647,0.070588235,0.909185734,0.917647059,0.917647059,0.927710843,0.929411765,0.936314879,0.835525437,"[[158, 12], [16, 154]]",13.79865694,No_Polarity,1,42,ablation,31,"{'b1': 0.8694633841514587, 'b2': 1.0069401264190674, 'b3': 1.0190858840942383}"
0.896551724,0.841176471,0.158823529,0.035294118,0.941973401,0.902941176,0.902941176,0.959731544,0.964705882,0.940380623,0.812102317,"[[164, 6], [27, 143]]",21.31452847,No_Polarity,1,123,ablation,21,"{'b1': 0.862086832523346, 'b2': 0.9256117343902588, 'b3': 1.0052942037582397}"
0.910179641,0.894117647,0.105882353,0.070588235,0.914565024,0.911764706,0.911764706,0.926829268,0.929411765,0.939186851,0.824042816,"[[158, 12], [18, 152]]",15.22115231,No_Polarity,1,456,ablation,30,"{'b1': 0.8713604211807251, 'b2': 0.9893941283226013, 'b3': 1.0213888883590698}"
0.912912913,0.894117647,0.105882353,0.064705882,0.919639648,0.914705882,0.914705882,0.932515337,0.935294118,0.941314879,0.830115795,"[[159, 11], [18, 152]]",14.00998259,No_Polarity,2,42,ablation,43,"{'b1': 0.8554370999336243, 'b2': 1.0204721689224243, 'b3': 1.0154387950897217}"
0.913580247,0.870588235,0.129411765,0.035294118,0.930087142,0.917647059,0.917647059,0.961038961,0.964705882,0.944653979,0.839018452,"[[164, 6], [22, 148]]",13.55782032,No_Polarity,2,123,ablation,59,"{'b1': 0.8327329158782959, 'b2': 0.9975486993789673, 'b3': 1.0018219947814941}"
0.915662651,0.894117647,0.105882353,0.058823529,0.911931761,0.917647059,0.917647059,0.938271605,0.941176471,0.932249135,0.83622055,"[[160, 10], [18, 152]]",14.4649415,No_Polarity,2,456,ablation,55,"{'b1': 0.8442928791046143, 'b2': 1.016550898551941, 'b3': 1.0171074867248535}"
0.930232558,0.941176471,0.058823529,0.082352941,0.910089142,0.929411765,0.929411765,0.91954023,0.917647059,0.941089965,0.859061365,"[[156, 14], [10, 160]]",14.59333849,No_Polarity,3,42,ablation,40,"{'b1': 0.8706784844398499, 'b2': 1.0189979076385498, 'b3': 1.0202378034591675}"
0.941538462,0.9,0.1,0.011764706,0.968863385,0.944117647,0.944117647,0.987096774,0.988235294,0.973252595,0.891713279,"[[168, 2], [17, 153]]",13.30943441,No_Polarity,3,123,ablation,39,"{'b1': 0.8188508152961731, 'b2': 0.993062436580658, 'b3': 1.0165663957595825}"
0.926380368,0.888235294,0.111764706,0.029411765,0.95087511,0.929411765,0.929411765,0.967948718,0.970588235,0.960709343,0.8617507,"[[165, 5], [19, 151]]",14.49153137,No_Polarity,3,456,ablation,37,"{'b1': 0.8552167415618896, 'b2': 1.0183396339416504, 'b3': 1.0149574279785156}"
0.913580247,0.870588235,0.129411765,0.035294118,0.935472606,0.917647059,0.917647059,0.961038961,0.964705882,0.947647059,0.839018452,"[[164, 6], [22, 148]]",15.50964737,No_Polarity,4,42,ablation,33,"{'b1': 0.8698000311851501, 'b2': 1.0131940841674805, 'b3': 1.0155235528945923}"
0.920731707,0.888235294,0.111764706,0.041176471,0.941769649,0.923529412,0.923529412,0.955696203,0.958823529,0.953391003,0.849177062,"[[163, 7], [19, 151]]",12.93739986,No_Polarity,4,123,ablation,47,"{'b1': 0.816005289554596, 'b2': 1.002240538597107, 'b3': 1.011780858039856}"
0.919881306,0.911764706,0.088235294,0.070588235,0.93259547,0.920588235,0.920588235,0.928143713,0.929411765,0.952577855,0.84130748,"[[158, 12], [15, 155]]",13.10482597,No_Polarity,4,456,ablation,36,"{'b1': 0.8605085015296936, 'b2': 1.0178507566452026, 'b3': 1.0206890106201172}"
0.884012539,0.829411765,0.170588235,0.047058824,0.896600408,0.891176471,0.891176471,0.946308725,0.952941176,0.9116609,0.7883913,"[[162, 8], [29, 141]]",19.73762608,No_MultiScale,0,42,ablation,76,"{'b1': 0.9222862720489502, 'b2': 1.002515435218811, 'b3': 1.0264352560043335}"
0.883280757,0.823529412,0.176470588,0.041176471,0.901689146,0.891176471,0.891176471,0.952380952,0.958823529,0.913079585,0.789613053,"[[163, 7], [30, 140]]",19.2791214,No_MultiScale,0,123,ablation,68,"{'b1': 0.8983607292175293, 'b2': 1.0059821605682373, 'b3': 1.0256277322769165}"
0.883280757,0.823529412,0.176470588,0.041176471,0.893800151,0.891176471,0.891176471,0.952380952,0.958823529,0.910190311,0.789613053,"[[163, 7], [30, 140]]",20.81835556,No_MultiScale,0,456,ablation,97,"{'b1': 0.9085217118263245, 'b2': 1.0003893375396729, 'b3': 1.0239717960357666}"
0.852664577,0.8,0.2,0.076470588,0.875709801,0.861764706,0.861764706,0.912751678,0.923529412,0.897231834,0.729113759,"[[157, 13], [34, 136]]",18.83290195,No_MultiScale,1,42,ablation,51,"{'b1': 0.9189521074295044, 'b2': 1.0055357217788696, 'b3': 1.0260696411132812}"
0.866043614,0.817647059,0.182352941,0.070588235,0.895122226,0.873529412,0.873529412,0.920529801,0.929411765,0.912439446,0.751768882,"[[158, 12], [31, 139]]",18.68103886,No_MultiScale,1,123,ablation,53,"{'b1': 0.9151095151901245, 'b2': 1.0051008462905884, 'b3': 1.0251911878585815}"
0.860759494,0.8,0.2,0.058823529,0.878434692,0.870588235,0.870588235,0.931506849,0.941176471,0.897681661,0.748674864,"[[160, 10], [34, 136]]",18.40140533,No_MultiScale,1,456,ablation,71,"{'b1': 0.9117740988731384, 'b2': 1.0002453327178955, 'b3': 1.0244641304016113}"
0.857142857,0.776470588,0.223529412,0.035294118,0.903492362,0.870588235,0.870588235,0.956521739,0.964705882,0.908442907,0.754666926,"[[164, 6], [38, 132]]",18.0585289,No_MultiScale,2,42,ablation,46,"{'b1': 0.921052873134613, 'b2': 0.9852409362792969, 'b3': 1.0253864526748657}"
0.857988166,0.852941176,0.147058824,0.135294118,0.835561808,0.858823529,0.858823529,0.863095238,0.864705882,0.878408304,0.717696728,"[[147, 23], [25, 145]]",20.58436584,No_MultiScale,2,123,ablation,56,"{'b1': 0.9107229113578796, 'b2': 0.9982069134712219, 'b3': 1.0251331329345703}"
0.858085809,0.764705882,0.235294118,0.017647059,0.910252627,0.873529412,0.873529412,0.977443609,0.982352941,0.907491349,0.765407525,"[[167, 3], [40, 130]]",20.05015755,No_MultiScale,2,456,ablation,45,"{'b1': 0.9117692112922668, 'b2': 0.9770177006721497, 'b3': 1.0251837968826294}"
0.84375,0.794117647,0.205882353,0.088235294,0.869387582,0.852941176,0.852941176,0.9,0.911764706,0.89299308,0.710818653,"[[155, 15], [35, 135]]",22.05504322,No_MultiScale,3,42,ablation,63,"{'b1': 0.9162507057189941, 'b2': 1.004636287689209, 'b3': 1.0265109539031982}"
0.853503185,0.788235294,0.211764706,0.058823529,0.876287845,0.864705882,0.864705882,0.930555556,0.941176471,0.892785467,0.738095238,"[[160, 10], [36, 134]]",21.9488802,No_MultiScale,3,123,ablation,57,"{'b1': 0.9116467833518982, 'b2': 1.0047194957733154, 'b3': 1.0245773792266846}"
0.840677966,0.729411765,0.270588235,0.005882353,0.896140701,0.861764706,0.861764706,0.992,0.994117647,0.886816609,0.750292966,"[[169, 1], [46, 124]]",24.45605755,No_MultiScale,3,456,ablation,52,"{'b1': 0.9119662642478943, 'b2': 0.9767608642578125, 'b3': 1.0238808393478394}"
0.873846154,0.835294118,0.164705882,0.076470588,0.882410683,0.879411765,0.879411765,0.916129032,0.923529412,0.900605536,0.761794788,"[[157, 13], [28, 142]]",20.27900314,No_MultiScale,4,42,ablation,55,"{'b1': 0.9235908389091492, 'b2': 0.9886988401412964, 'b3': 1.02647066116333}"
0.874213836,0.817647059,0.182352941,0.052941176,0.892813774,0.882352941,0.882352941,0.939189189,0.947058824,0.90532872,0.771190872,"[[161, 9], [31, 139]]",19.94556427,No_MultiScale,4,123,ablation,47,"{'b1': 0.9048649668693542, 'b2': 1.0088474750518799, 'b3': 1.0249089002609253}"
0.874213836,0.817647059,0.182352941,0.052941176,0.874319494,0.882352941,0.882352941,0.939189189,0.947058824,0.889446367,0.771190872,"[[161, 9], [31, 139]]",22.23426914,No_MultiScale,4,456,ablation,71,"{'b1': 0.9153046011924744, 'b2': 1.0007784366607666, 'b3': 1.0240932703018188}"
0.941176471,0.941176471,0.058823529,0.058823529,0.934181256,0.941176471,0.941176471,0.941176471,0.941176471,0.957456747,0.882352941,"[[160, 10], [10, 160]]",12.96314144,No_Spatial,0,42,ablation,52,"{'b1': 0.8636602759361267, 'b2': 0.9938472509384155, 'b3': 1.024520993232727}"
0.931750742,0.923529412,0.076470588,0.058823529,0.927142848,0.932352941,0.932352941,0.94011976,0.941176471,0.952871972,0.864840557,"[[160, 10], [13, 157]]",13.242486,No_Spatial,0,123,ablation,60,"{'b1': 0.8748289346694946, 'b2': 0.9606289863586426, 'b3': 1.0293480157852173}"
0.923976608,0.929411765,0.070588235,0.082352941,0.917431632,0.923529412,0.923529412,0.918604651,0.917647059,0.946055363,0.84711745,"[[156, 14], [12, 158]]",17.29689264,No_Spatial,0,456,ablation,37,"{'b1': 0.8752185702323914, 'b2': 0.9269305467605591, 'b3': 0.9609745740890503}"
0.932515337,0.894117647,0.105882353,0.023529412,0.944252956,0.935294118,0.935294118,0.974358974,0.976470588,0.953719723,0.873555505,"[[166, 4], [18, 152]]",13.79612303,No_Spatial,1,42,ablation,46,"{'b1': 0.886258602142334, 'b2': 0.9660924673080444, 'b3': 1.0101150274276733}"
0.938416422,0.941176471,0.058823529,0.064705882,0.919044185,0.938235294,0.938235294,0.935672515,0.935294118,0.942906574,0.876485752,"[[159, 11], [10, 160]]",13.45340824,No_Spatial,1,123,ablation,56,"{'b1': 0.8732563853263855, 'b2': 1.0166561603546143, 'b3': 1.0231660604476929}"
0.926686217,0.929411765,0.070588235,0.076470588,0.918322641,0.926470588,0.926470588,0.923976608,0.923529412,0.948546713,0.852955934,"[[157, 13], [12, 158]]",14.17555666,No_Spatial,1,456,ablation,56,"{'b1': 0.8833601474761963, 'b2': 0.9575145840644836, 'b3': 0.9859229922294617}"
0.906344411,0.882352941,0.117647059,0.064705882,0.934296608,0.908823529,0.908823529,0.931677019,0.935294118,0.945795848,0.818795311,"[[159, 11], [20, 150]]",18.02779102,No_Spatial,2,42,ablation,34,"{'b1': 0.8791142106056213, 'b2': 0.9355352520942688, 'b3': 0.9696980118751526}"
